"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Central African Republic","CAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","630","590","580","600","640","610","640","660","690","660","700","720","680","720","740","780","830","840","910","960","1020","1110","750","730","800","860","960","1030","",
"Canada","CAN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19500","19550","19880","20700","21820","22670","23240","24470","25430","26900","28590","29360","30180","31540","33180","35580","37500","38970","39780","38220","39320","40880","41540","43620","45010","43990","45910","48070","49430","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6536.03680490844","6844.37440749465","7344.92054952483","7876.94112192854","8270.23970225754","8537.00666919046","8928.58790711677","9228.57547905981","9848.62059836738","10623.359912747","11424.6484738255","12014.4505720597","12967.3185592353","13881.2552714072","15332.9465249265","16945.4823478189","18990.0445810016","19105.5029958193","20018.9985081149","21301.7878813211","22170.0153953319","23235.125238729","24178.857495826","25133.2416345534","26825.3222595839","28907.9204887091","30592.3441304746","",
"Switzerland","CHE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28170","28530","28760","29270","29790","30620","31340","33210","34510","35710","38140","38240","38720","40190","41600","43980","48460","50050","49150","52790","56230","56830","59140","61380","62170","65450","66080","67890","70140","",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4270","4700","5390","5910","6270","7070","7750","8370","8790","8720","9220","9640","9930","10180","10840","11640","13840","15050","15220","15060","16880","19110","20490","21470","21990","22010","22080","22750","23750","",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1100","1260","1450","1660","1830","2030","2240","2410","2620","2890","3160","3500","3910","4410","5020","5830","6830","7620","8290","9210","10200","11170","11830","12520","12880","13400","14140","15320","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1780","1770","1740","1800","1910","2060","2140","2230","2230","2080","2030","1960","1870","2000","2210","2260","2310","2370","2410","2430","2310","2540","2700","3050","3260","3380","3430","3660","",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1680","1630","1500","1520","1550","1610","1670","1750","1800","1830","1880","1960","2080","2250","2290","2410","2500","2590","2620","2650","2750","2820","2950","3160","3210","3350","3490","3610","",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500","490","520","490","480","440","440","410","430","450","470","500","530","550","560","580","610","640","630","690","780","840","940","1030","1070","",
